"","Year","IceOnDate","IceOnJulian","IceOffDate","IceOffJulian","AnnualMax","AnnualMin","AnnualRain","AnnualSnow","SnowDepth","SpringMax","SpringMin","SpringRain","SpringSnow","SummerMax","SummerMin","SummerRain","SummerSnow","FallMax","FallMin","FallRain","FallSnow","WinterMax","WinterMin","WinterRain","WinterSnow"
"33",1959,"18-Dec",352,"27-May",147,27.22222222,-36.66666667,178.665416683,235.862583255,1549.4,17.77777778,-31.66666667,48.93600982,80.095990183,27.22222222,-2.777777778,85.311939596,1.048060413,23.33333333,-32.77777778,42.715742183,57.614257824,6.111111111,-36.66666667,1.701725084,97.104274835
"34",1960,"11-Dec",345,"22-May",122,29.44444444,-37.77777778,204.14871388226,245.431285922,1727.2,19.44444444,-31.11111111,54.033471422,80.332528545,29.44444444,-4.444444444,127.337487975,2.456511861,23.88888889,-25,22.401758069,65.482241971,5.555555556,-37.77777778,0.37599641626,97.160003545
"35",1961,"10-Dec",344,"27-May",147,28.88888889,-38.33333333,284.252178322203,291.565821605,1981.2,21.11111111,-25.55555556,54.41232852,60.395671427,28.88888889,-2.222222222,146.451187201,0.106812776,20.55555556,-23.33333333,80.19101164,102.434988407,4.444444444,-38.33333333,3.197650961203,128.628348995
"36",1962,"12-Jan",377,"21-May",121,25.55555556,-43.88888889,306.989037967,277.718962005,1879.6,17.22222222,-31.11111111,69.285903167,78.03409685,25.55555556,-6.111111111,172.053579979,12.858420043,22.22222222,-19.44444444,47.16718707,44.780812949,7.222222222,-43.88888889,18.482367751,142.045632163
"37",1963,"8-Jan",373,"30-May",150,27.22222222,-45.55555556,301.028722696132,207.987277365,1828.8,18.33333333,-31.11111111,69.234666562,75.545333445,27.22222222,-3.888888889,127.983744513,1.302255522,24.44444444,-17.77777778,98.09832747,40.839672533,9.444444444,-45.55555556,5.71198415113187,90.300015865
"38",1964,"18-Dec",352,"29-May",149,27.22222222,-38.88888889,204.52256337594,322.781436518,1955.8,18.88888889,-32.22222222,37.9026568956,84.525343034,27.22222222,-4.444444444,128.840449507,14.415550452,20.55555556,-25,25.513557053,42.050442926,5,-38.88888889,12.26589992034,181.790100106
"39",1965,"16-Jan",381,"28-May",148,25,-42.22222222,167.93766621274,307.042333701,1498.6,15,-41.11111111,51.22532098104,78.314678988,25,-3.888888889,61.436645012,1.809354948,18.33333333,-19.44444444,54.220927098,61.857072872,5.555555556,-42.22222222,1.0547731217,165.061226893
"40",1966,"22-Dec",356,"21-May",141,28.33333333,-36.11111111,218.63502478299,235.770975235,1828.8,21.66666667,-36.11111111,37.938146667,74.583853344,28.33333333,-5,74.929630199,3.302369831,26.11111111,-21.66666667,104.119222848,50.820777153,2.222222222,-33.88888889,1.64802506899,107.063974907
"41",1967,"15-Dec",349,"31-May",151,26.11111111,-33.88888889,270.2584005825,293.875599607,1981.2,19.44444444,-33.88888889,25.327993642,64.334006361,26.11111111,-3.888888889,151.739148592,1.422851511,22.77777778,-25.55555556,90.988118119,58.109881909,3.888888889,-33.33333333,2.2031402295,170.008859826
"42",1968,"21-Dec",355,"2-Jun",153,26.11111111,-37.77777778,189.014448609008,181.571551184,1854.2,18.88888889,-26.66666667,13.996854872,55.091145128,26.11111111,-3.333333333,168.916210866,3.29578914,6.111111111,-22.77777778,2.125779851,24.290220056,7.222222222,-37.77777778,3.975603020008,98.89439686
"43",1969,"28-Dec",362,"17-May",137,32.77777778,-32.22222222,272.2295531808,249.486446813,1854.2,21.66666667,-32.22222222,13.690201893,27.457798097,32.77777778,-3.333333333,199.527770333,10.784229714,24.44444444,-23.33333333,45.003480621,23.576519372,5,-32.22222222,14.0081003338,187.66789963
"44",1970,"14-Dec",348,"4-Jun",155,29.44444444,-38.33333333,132.4246115392,314.615388468,1701.8,20.55555556,-30,43.57539512,115.936604909,29.44444444,-2.222222222,78.72917406,0.010825946,5.555555556,-23.88888889,6.468682151,64.397317885,4.444444444,-38.33333333,3.6513602082,134.270639728
"45",1971,"28-Dec",362,"31-May",151,28.88888889,-38.33333333,129.33668616324,318.465313978,1803.4,21.11111111,-36.11111111,30.556763507,98.221236557,28.88888889,-3.888888889,52.019086637,0.050913352,21.66666667,-21.11111111,43.842742621,34.643257434,5,-38.33333333,2.91809339824,185.549906635
"46",1972,"10-Dec",344,"2-Jun",153,28.33333333,-41.11111111,235.2843695234,251.633630438,1625.6,18.33333333,-30,29.414729791,53.13527018,28.33333333,-5.555555556,124.247109664,2.752890327,21.11111111,-27.77777778,77.4096419954,71.68835791,4.444444444,-41.11111111,4.212888073,124.057112021
"47",1973,"24-Dec",358,"27-May",147,26.66666667,-39.44444444,162.94529452568,238.882705436,1701.8,20.55555556,-28.33333333,19.654544289,51.46545568,26.66666667,-7.222222222,85.142626596,4.773373408,23.33333333,-22.22222222,57.391220727,89.674779164,5,-39.44444444,0.75690291368,92.969097184
"48",1974,"1-Jan",366,"27-May",147,27.77777778,-40,100.13142696747,272.994572965,1981.2,15.55555556,-38.33333333,19.835623184,124.690376837,27.77777778,-7.777777778,53.76791372,11.00208622,23.33333333,-19.44444444,22.607033583,25.906966413,6.666666667,-40,3.92085648047,111.395143495
"49",1975,"",NA,"7-Jun",158,27.77777778,-41.11111111,199.043259642426,414.366740304,2006.6,16.11111111,-32.77777778,19.781950183,106.710049821,27.77777778,-6.666666667,142.246452277,11.677547727,23.33333333,-32.77777778,35.0302053119,150.897794645,7.222222222,-41.11111111,1.984651870526,145.081348111
"50",1976,"",NA,"21-May",141,27.22222222,-37.77777778,91.52473524946,160.951264704,1651,8.888888889,-37.22222222,1.495760324,55.146239676,27.22222222,-8.333333333,56.007837326,13.842162628,24.44444444,-16.66666667,33.626216468,7.775783532,3.888888889,-37.77777778,0.39492113146,84.187078868
"51",1977,"21-Dec",355,"13-May",133,31.11111111,-37.22222222,71.5921737434531,72.171826244,1727.2,21.66666667,-34.44444444,4.415029766,39.018970266,31.11111111,-6.111111111,67.170079108,1.155920863,NA,NA,0,0,6.111111111,-37.22222222,0.0070648694531,31.996935115
"52",1978,"28-Dec",362,"17-May",137,27.77777778,-41.11111111,74.6791651000818,116.836834905,1879.6,NA,NA,0,0,27.77777778,-2.777777778,31.192335329,0.557664703,23.88888889,-25.55555556,43.416528229,50.563471778,0,-41.11111111,0.0703015420818,65.715698424
"53",1979,"29-Dec",363,"27-May",147,28.33333333,-41.11111111,140.273829498754,196.530170435,1828.8,18.33333333,-30.55555556,14.446893935,58.959106093,28.33333333,-6.666666667,107.890845693,7.425154158,25,-28.88888889,16.090176115,44.107823884,7.777777778,-41.11111111,1.8459137557539,86.0380863
"54",1980,"12-Jan",377,"10-May",130,27.22222222,-40,280.562684710839,296.271315551,1752.6,19.44444444,-28.88888889,57.185201211,102.072798848,27.22222222,-3.888888889,132.761724871,6.176275267,23.33333333,-21.66666667,85.385095369,21.8029046,8.333333333,-40,5.23066325983897,166.219336836
"55",1981,"7-Jan",372,"19-May",139,26.66666667,-41.11111111,291.10151867066,292.84448124,1778,17.22222222,-21.66666667,101.050226985,82.591773001,26.66666667,-5.555555556,131.82470302,7.113297021,24.44444444,-22.22222222,55.463161115,91.094838846,8.888888889,-41.11111111,2.76342755066,112.044572372
"56",1982,"15-Dec",349,"26-May",146,27.77777778,-42.22222222,230.28858359296,334.607416754,1828.8,18.88888889,-27.77777778,41.152757334,118.359242834,27.77777778,-5.555555556,128.359249436,7.276750645,22.77777778,-26.11111111,53.908686172,86.045313857,5.555555556,-42.22222222,6.86789065096,122.926109418
"57",1983,"22-Dec",356,"30-May",150,27.77777778,-41.11111111,229.265558974372,294.228440984,1625.6,20,-27.77777778,8.964554813,66.47344518,27.77777778,-5.555555556,90.865143741,3.876856222,25,-23.33333333,128.470358993,61.013641043,6.666666667,-41.11111111,0.96550142737164,162.864498539
