Year,MinJan,MaxJan,PrecipJan,MinFeb,MaxFeb,PrecipFeb,MinMar,MaxMar,PrecipMar,MinApr,MaxApr,PrecipApr,MinMay,MaxMay,PrecipMay,MinJun,MaxJun,PrecipJun,MinJul,MaxJul,PrecipJul,MinAug,MaxAug,PrecipAug,MinSep,MaxSep,PrecipSep,MinOct,MaxOct,PrecipOct,MinNov,MaxNov,PrecipNov,MinDec,MaxDec,PrecipDec,MaxSnowDepth_cm
1966,-46.8,17.2,3.0734,-42.8,16.2,2.3368,-50.8,37.2,3.3274,-32.8,34.2,3.2258,-5.8,53.2,4.699,5.2,54.2,5.2832,15.2,65.2,0.9398,10.2,63.2,2.6162,4.2,61.2,10.1346,-7.8,42.2,1.7272,-24.8,33.2,4.2164,-37.8,18.2,5.461,107
1967,-45.8,20.2,9.2202,-42.8,21.2,3.683,-46.8,37.2,5.4102,-18.8,29.2,3.4036,-19.8,49.2,2.9972,7.2,54.2,6.9088,16.2,60.2,5.8166,14.2,61.2,2.5908,5.2,55.2,3.5814,-6.8,40.2,8.3058,-31.8,31.2,3.048,-45.8,18.2,4.318,170
1968,-43.8,21.2,4.826,-37.8,27.2,2.3622,-33.8,31.2,2.032,-25.8,39.2,2.4384,-6.8,48.2,2.6162,8.2,56.2,2.54,9.2,61.2,1.9812,11.2,60.2,12.7,0,0,0,0,0,0,-26.8,25.2,2.6416,-53.8,22.2,3.8608,94
1969,-43.8,18.2,14.2748,-37.8,22.2,2.2606,-43.8,29.2,1.2192,-9.8,44.2,1.5748,-0.8,53.2,1.3208,8.2,56.2,16.1544,11.2,60.2,3.5814,10.2,73.2,1.2954,5.2,58.2,4.2164,-11.8,37.2,1.2954,-27.8,34.2,1.4224,-36.8,23.2,3.6322,165
1970,-54.8,22.2,5.6134,-32.8,22.2,2.0574,-39.8,22.2,5.9944,-30.8,32.2,5.08,-16.8,51.2,4.8768,15.2,57.2,0.6096,10.2,67.2,5.2578,12.2,67.2,2.4638,0,0,0,0,0,0,-28.8,24.2,7.0866,-41.8,18.2,8.2296,117
1971,-54.8,23.2,7.7978,-48.8,23.2,4.2672,-50.8,27.2,6.7056,-34.8,36.2,3.7846,-2.8,52.2,2.3876,0,0,0,7.2,62.2,2.6416,9.2,66.2,2.5654,-5.8,53.2,4.4196,0,0,0,-23.8,32.2,3.429,-41.8,17.2,6.7818,147
1972,-58.8,16.2,5.2324,-59.8,22.2,4.7752,-39.8,35.2,3.1242,-26.8,35.2,2.54,-17.8,47.2,2.5908,7.2,56.2,5.08,4.2,62.2,2.6924,9.2,65.2,4.9276,-9.8,52.2,8.9916,-27.8,41.2,4.1148,-35.8,23.2,2.7178,-55.8,17.2,2.8194,124
1973,-56.8,20.2,3.048,-47.8,22.2,1.9812,-36.8,26.2,2.6924,-27.8,33.2,2.3622,-13.8,51.2,2.2098,1.2,59.2,3.0988,5.2,62.2,2.286,9.2,62.2,3.6068,5.2,56.2,4.9784,-5.8,46.2,2.4638,-25.8,32.2,7.2644,-34.8,23.2,4.3434,94
1974,-57.8,26.2,4.953,-45.8,20.2,2.54,-54.8,27.2,10.3124,0,39.2,1.6256,-10.8,42.2,4.1402,0.2,62.2,2.1082,11.2,64.2,1.5494,6.2,60.2,2.8194,0.2,56.2,0.5842,-8.8,47.2,3.4544,-20.8,29.2,2.0828,-45.8,21.2,4.0386,160
1975,-59.8,17.2,5.6896,-52.8,20.2,3.683,-44.8,28.2,4.5466,-43.8,28.2,3.4544,-15.8,43.2,4.6482,2.2,54.2,5.5626,11.2,64.2,6.7564,3.2,61.2,3.0734,0.2,56.2,1.524,-24.8,48.2,13.6652,-44.8,33.2,3.4036,-41.8,27.2,5.334,124
1976,-42.8,21.2,6.3754,-53.8,21.2,2.0828,-52.8,26.2,4.2164,-21.8,30.2,2.9718,0,0,0,2.2,60.2,3.1242,9.2,63.2,0.8636,-0.8,61.2,2.9972,3.2,58.2,3.1496,-15.8,49.2,0.9906,0,34.2,0.9398,0,18.2,1.4478,163
1977,-52.8,18.2,2.3114,-40.8,25.2,0.889,-47.8,30.2,2.413,0,0,0,0.2,53.2,1.9304,0,0,0,3.2,70.2,1.8288,4.2,60.2,5.0038,0,0,0,0,0,0,0,0,0,0,0,0,61
1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,64.2,5.207,-7.8,57.2,3.81,-13.8,48.2,0.9144,-31.8,34.2,5.6388,-59.8,14.2,6.5786,91
1979,-59.8,12.2,3.3782,-52.8,20.2,4.191,-40.8,28.2,4.5974,-26.8,35.2,1.651,-4.8,47.2,1.5494,2.2,60.2,3.7846,13.2,63.2,1.4986,15.2,65.2,6.2484,1.2,59.2,0.4826,-18.8,50.2,3.429,-37.8,26.2,2.1082,-36.8,28.2,1.6764,155
1980,-57.8,20.2,7.874,-42.8,29.2,4.0386,-37.8,25.2,6.858,-29.8,44.2,1.8034,0.2,49.2,7.2644,9.2,55.2,3.4798,14.2,63.2,7.0866,7.2,61.2,5.1562,4.2,56.2,7.4422,-11.8,51.2,0.3048,-24.8,36.2,2.9718,-28.8,25.2,5.2324,137
